revendeur,categorie,titre,image,url,desc,prix,date
tunisianet,Ordinateurs & Tablettes,Pc Portable Lenovo G5030 / Dual Core / 2 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/42835-home/pc-portable-lenovo-g5030-dual-core-2-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15159-pc-portable-lenovo-g5030-dual-core-2-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N2840, up to 2.58 GHz , 1 Mo de mémoire cache - Mémoire 2 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Wifi - Bluetooth - Webcam HD avec Micro - HDMI - USB 3.0 - Couleur Noir - Garantie 1 an ",405.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire ES-531 / Quad Core / 2 Go + Clé 3G Offerte,http://www.tunisianet.com.tn/51320-home/pc-portable-acer-aspire-es-531-quad-core-2-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/18088-pc-portable-acer-aspire-es-531-quad-core-2-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Quad Core N3150﻿, up to 2.08 GHz, 2 Mo de mémoire cache - Mémoire 2 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1 an﻿ ",413.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire ES1-531 / Quad Core / 2 Go + Clé 3G Offerte,http://www.tunisianet.com.tn/48371-home/pc-portable-acer-aspire-es1-531-quad-core-2-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16979-pc-portable-acer-aspire-es1-531-quad-core-2-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Quad Core N3150﻿, up to 2.08 GHz, 2 Mo de mémoire cache - Mémoire 2 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1 an -...",413.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Lenovo Ideapad 100-15IBY / Dual Core / 2Go / Noir + Clé 3G Offerte,http://www.tunisianet.com.tn/51272-home/pc-portable-lenovo-ideapad-100-15iby-dual-core-2go-noir-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/18073-pc-portable-lenovo-ideapad-100-15iby-dual-core-2go-noir-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N2840, up to 2.58 GHz, 1 Mo de mémoire cache - Mémoire 2 Go - Disque 500 - Carte graphique Intel HD Graphics - Wifi - Bluetooth - Webcam HD avec Micro - HDMI - USB 3.0 - Garantie 1 an - Pour 1Dt de plus: Clé 3G Ooredoo avec 4 Go...",419.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Asus X200MA / Dual Core / 2Go / Bleu + Clé 3G Offerte,http://www.tunisianet.com.tn/47563-home/pc-portable-asus-x200ma-dual-core-2go-bleu-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16718-pc-portable-asus-x200ma-dual-core-2go-bleu-cle-3g-offerte.html,"Ecran 11.6"" HD LED Slim - Processeur Intel Celeron Dual Core N2840, up to 2.58 Ghz, 1 Mo de mémoire cache - 2 Go de mémoire - Disque 500 Go - Carte graphique Intel HD Graphics - Wifi - Bluetooth - Webcam avec micro - Poids 1.3 Kg - Garantie 1 an ﻿- Pour 1Dt de plus: Clé 3G Ooredoo...",429.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Asus X200MA / Dual Core / 2Go / Rouge + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/42846-home/pc-portable-asus-x200ma-dual-core-2go-rouge-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15163-pc-portable-asus-x200ma-dual-core-2go-rouge-cle-3g-offerte.html,"Ecran 11.6"" HD LED Slim - Processeur Intel Celeron Dual Core N2840, up to 2.58 Ghz, 1 Mo de mémoire cache - 2 Go de mémoire - Disque 500 Go - Carte graphique Intel HD Graphics - Wifi - Bluetooth - Webcam avec micro - Poids 1.3 Kg - Garantie 1 an﻿ ",429.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Asus X200MA / Dual Core / 2Go / Blanc + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/42842-home/pc-portable-asus-x200ma-dual-core-2go-blanc-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15162-pc-portable-asus-x200ma-dual-core-2go-blanc-cle-3g-offerte.html,"Ecran 11.6"" HD LED Slim - Processeur Intel Celeron Dual Core N2840, up to 2.58 Ghz, 1 Mo de mémoire cache - 2 Go de mémoire - Disque 500 Go - Carte graphique Intel HD Graphics - Wifi - Bluetooth - Webcam avec micro - Poids 1.3 Kg - Garantie 1 an...",429.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Lenovo G5030 / Dual Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/43734-home/pc-portable-lenovo-g5030-dual-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15439-pc-portable-lenovo-g5030-dual-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N2840, up to 2.58 GHz , 1 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Wifi - Bluetooth - Webcam HD avec Micro - HDMI - USB 3.0 - Couleur Noir - Garantie 1 an ",432.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable HP Stream 13-c005nf / Dual Core / 2 Go / Rose + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/37335-home/pc-portable-hp-stream-13-c005nf-dual-core-2-go-rose-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/13171-pc-portable-hp-stream-13-c005nf-dual-core-2-go-rose-cle-3g-offerte.html,"Ecran 13.3"" HD LED - Processeur Intel Celeron Dual Core N2840, up to 2.58Ghz, 1Mo de cache - 2Go de mémoire - Disque 32Go﻿ eMMC ﻿- Carte graphique Intel HD Graphics - Wifi - Bluetooth - 1xVGA - 1xUSB 3.0 - 1xHDMI - Lecteur de cartes﻿ - Dimensions 33,32x22,9x1,95 cm﻿ - Poids 1.3Kg - Couleur Rose...",459.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Dell Inspiron 3542 / Dual Core / 4 Go / Silver + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/43896-home/pc-portable-dell-inspiron-3542-dual-core-4-go-silver-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15513-pc-portable-dell-inspiron-3542-dual-core-4-go-silver-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core 2957U, 1.4 Ghz , 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Graveur DVD - 1x HDMI - 2xUSB 2.0 - 1xUSB 3.0 - Webcam avec Micro - Couleur Noir - Garantie 1 an...",475.000,2016/05/31
